"HGNC","logFC","logCPM","F","PValue","FDR"
"DEDD",-1.41541918655884,4.84553980965961,12.7875690103116,0.000606326310848841,0.00373855426701981
"DEDD2",-0.717280065640262,5.16699216890931,3.87619880734862,0.0535189815493194,0.116431652268991
"DEF6",0.121795982123658,5.38644486689345,0.0518143545724899,0.820766999863056,0.86734022165822
"DEF8",-0.852260991975311,5.3381664265373,6.60431350377478,0.0128390124672116,0.0397054299767665
"DEFB1",-0.510604086517799,4.40905318670382,0.42687346852488,0.515114479299423,0.616457831273019
"DEFB124",-0.355261667252371,4.21542703545369,0.189176348191634,0.665163166962976,0.742147317300781
"DEGS1",-0.287520008017207,4.61548370701975,0.335857527418136,0.563662853581365,0.658710175568578
"DEGS2",-0.932232566040511,5.32874197908049,4.81714748131956,0.0322900876054636,0.0799859415647993
"DEK",0.541212067524224,6.13508425345964,0.989996589929752,0.324708722918617,0.438145202263331
"DELE1",-0.508421573453032,5.32259653619384,1.53851424864556,0.219948544011133,0.328240588427549
"DENND10",-0.876091760573375,4.82515586093149,5.17039466416447,0.0257536493594157,0.0674717057541725
"DENND11",0.0718403275733851,5.70729081800115,0.0269844946468187,0.870170062545305,0.904163849701854
"DENND1A",-1.46693923800781,5.14475186452642,16.725926357655,0.000124955019452884,0.00107422956461996
"DENND1B",-0.523611590702338,5.78700620282835,1.32682263891101,0.254876649180075,0.36588335844516
"DENND1C",-1.05279213984923,5.30053304024797,6.64404635859663,0.012536100844928,0.0390787295355598
"DENND2A",-1.86509869178668,4.52177678094853,7.68873195934547,0.00670005899020091,0.0243729353018567
"DENND2B",-0.819640254276284,6.4047270775178,3.79153945995456,0.0575227934076879,0.12300052063222
"DENND2C",-0.725271852356823,5.2738812931856,3.38003636293848,0.071116849105831,0.143562807659642
"DENND2D",-0.120653317797925,5.67121610444273,0.0642456535570729,0.800924549759913,0.851489105840087
"DENND3",-0.993592920193531,5.61799415561035,4.94117088622162,0.0306226959355444,0.0767063786545143
"DENND4A",-0.221108163916305,6.16890349090878,0.235576217105583,0.629649056774036,0.71279780180693
"DENND4B",-0.77902278505064,5.35728096607597,2.87083444345995,0.0957589821882552,0.178267552462242
"DENND4C",-0.364699366816186,6.09056890499391,0.870461834579112,0.355513560884473,0.468830214327636
"DENND5A",-0.509887255604041,5.33796073840876,1.20064119497117,0.277854907583463,0.390966959381886
"DENND5B",-0.896900010260541,5.06458175223606,2.26865689985574,0.136865657222992,0.231378699667534
"DENND6A",-0.280057716489332,5.15368030657268,0.373063957185658,0.543587564496745,0.640746055835979
"DENND6B",-1.11467957723603,5.70038539904215,6.40473765338727,0.0145214627434371,0.043831049821608
"DENR",-0.480232579155898,5.37061934524864,1.35311969322599,0.249696554461863,0.359919101760776
"DEPDC1",-0.354585873554924,4.36615396745655,0.285674555370257,0.594318193584913,0.683963449268726
"DEPDC4",-1.68532745547148,4.34567600111208,12.5658083019876,0.000644393288575971,0.00391660583193161
"DEPDC5",-1.02373061978802,5.44076940985217,6.71631549685595,0.0122391192602135,0.038366492838505
"DEPP1",-2.04587989407156,4.26037542111741,13.9594844924688,0.000399514373051893,0.00269467276953199
"DEPTOR",-1.31256635300561,4.52576415566479,12.2068259094697,0.000724557649173609,0.00430690281871199
"DERA",-0.511357824751702,4.80612196149597,1.66193845052583,0.201139646030601,0.307267540346868
"DERL1",-0.654558452107533,5.03232555850314,2.3460000160573,0.130377933376223,0.223119642950094
"DERL2",-0.678653158240833,4.79707998578067,1.87247684516523,0.175072040190689,0.277160740343761
"DERL3",-1.41226614738964,4.44493300291955,7.62976270404126,0.00689990425790953,0.0248547766050757
"DERPC",-0.433010335707145,5.03201677534596,1.0628350700954,0.306325996793134,0.420312287769329
"DESI1",-0.782427808885447,4.85121319485131,3.50905424584807,0.0649035867325557,0.133972910197556
"DESI2",-0.784883649690977,5.13412539910472,3.14126742777128,0.0812331796590067,0.158504276490774
"DET1",-1.40928006883261,4.53973928547863,11.5926853495012,0.000972567158080255,0.00541770620127875
"DEUP1",-0.954924547037053,4.76969209327507,5.32709494576261,0.0235558414204301,0.062757476032372
"DEXI",-0.493380742491966,4.54053261767378,1.30764614799141,0.255692432369719,0.366743902332817
"DFFA",-0.616170041540108,5.35695855157489,2.98542981419706,0.0895338662922601,0.169793218719784
"DFFB",-1.87091251061789,4.47178060069966,22.6030969885498,7.21731600067907e-06,0.000113098707318413
"DGAT1",-1.46007012668225,4.82683159730728,15.7199629665391,0.000161481937979848,0.00132127184849076
